name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,max_torque_rpm,selling_price
Hyundai,2014.0,110000.0,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,2750.0,532422.0399888443
Hyundai,2019.0,9400.0,Petrol,Dealer,Manual,First Owner,18.6,1197,81.83,114.7,5,4000.0,699715.5987117002
Mahindra,2006.0,120000.0,Diesel,Individual,Manual,Second Owner,14.0,2523,83.0,176.0,7,1500.0,208670.30690195668
Volvo,2018.0,2000.0,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,350.0,5,2750.0,3215280.0523220133
Maruti,2013.0,60000.0,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,69.0,5,3500.0,144647.6183107125
Honda,2016.0,56494.0,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,110.0,5,4800.0,483609.4823572405
Hyundai,2016.0,120000.0,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,180.4,5,2500.0,414383.3360414575
Tata,2015.0,110000.0,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7,3000.0,898821.4421501363
Mahindra,2015.0,50000.0,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,2200.0,500427.0463856843
Maruti,2015.0,48000.0,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,69.0,5,3500.0,351460.3329087689
Honda,2017.0,18300.0,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,145.0,5,4600.0,734810.3388361528
Maruti,2017.0,120000.0,Petrol,Individual,Automatic,First Owner,21.21,1197,81.8,113.0,5,4200.0,636809.0340634283
Hyundai,2016.0,110000.0,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,2750.0,854495.21352693
Hyundai,2017.0,25000.0,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,4000.0,549705.323711121
Ford,2014.0,105000.0,Diesel,Dealer,Manual,First Owner,21.7,1498,98.96,215.0,5,2500.0,650357.5122433528
Chevrolet,2012.0,98000.0,Diesel,Individual,Manual,First Owner,25.44,936,57.6,150.0,5,1750.0,165543.16907447367
Nissan,2018.0,35000.0,Diesel,Individual,Manual,First Owner,22.71,1461,84.8,200.0,5,2000.0,679791.4383954505
Toyota,2018.0,60000.0,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,450.0,7,2400.0,1819630.0485249292
Maruti,2007.0,70000.0,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,3000.0,-12588.383473582799
Maruti,2016.0,80000.0,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,1750.0,692828.2041550053
Ford,2012.0,163720.0,Diesel,Dealer,Manual,First Owner,18.5,1399,68.0,160.0,5,2000.0,353599.0304858129
Tata,2017.0,40000.0,Petrol,Individual,Manual,Second Owner,20.3,1199,84.0,114.0,5,3500.0,413485.5702070852
Ford,2017.0,62960.0,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,215.0,5,3000.0,761072.2441859236
Hyundai,2019.0,4337.0,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,114.0,5,4000.0,806135.9450341733
Hyundai,2015.0,53000.0,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,160.0,5,2750.0,439957.2792781603
Mahindra,2015.0,80000.0,Diesel,Individual,Manual,Second Owner,15.4,2179,120.0,280.0,7,2800.0,755832.9612165266
Toyota,2015.0,120000.0,Diesel,Individual,Manual,First Owner,13.0,2494,142.0,343.0,7,2800.0,1287176.5771602835
Tata,2014.0,65000.0,Diesel,Dealer,Manual,First Owner,19.09,1405,69.01,135.0,5,2500.0,364775.02046826493
Hyundai,2013.0,60000.0,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5,5,4000.0,183615.10382688628
Tata,2013.0,100000.0,Diesel,Individual,Manual,First Owner,22.3,1248,88.8,200.0,5,3000.0,360926.71164711495
Volkswagen,2018.0,75000.0,Diesel,Individual,Automatic,First Owner,21.5,1498,108.5,250.0,5,3000.0,836828.0554474122
Toyota,2016.0,68089.0,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,213.0,5,4500.0,1432262.8814679543
Maruti,2004.0,113000.0,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,3000.0,-205556.0655677996
Maruti,2014.0,50000.0,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,4200.0,458061.9161899225
Maruti,2017.0,60000.0,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,2000.0,641263.3414108129
Maruti,2014.0,80000.0,Petrol,Individual,Manual,Third Owner,16.02,1373,93.7,130.0,7,4000.0,502539.227524068
Maruti,2009.0,125876.0,Petrol,Individual,Manual,Second Owner,15.0,1586,104.68,145.0,5,4100.0,350063.6666716727
Maruti,2019.0,5000.0,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,115.0,5,4000.0,789963.2269042355
Tata,2015.0,110000.0,Diesel,Individual,Manual,Second Owner,19.1,1405,70.0,135.4,5,2500.0,258859.35751753557
Toyota,2013.0,120000.0,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,170.0,5,2400.0,629278.973995404
Maruti,2017.0,110000.0,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,190.0,5,2000.0,556688.6955165712
Tata,2017.0,140000.0,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,223.0,7,2200.0,538312.9745762255
Maruti,2005.0,90000.0,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,78.0,5,4500.0,-129665.1577444172
Maruti,2007.0,70000.0,Petrol,Individual,Manual,Third Owner,15.9,1298,85.0,110.0,5,4500.0,151876.03946430841
Maruti,1995.0,70000.0,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59.0,4,2500.0,-493528.5615808752
Hyundai,2017.0,60000.0,Diesel,Individual,Automatic,Second Owner,17.01,1582,126.2,259.9,5,2750.0,962435.9916995962
Mahindra,2006.0,120000.0,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,150.0,5,3000.0,90573.84944489342
Maruti,2013.0,100000.0,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,190.0,5,2000.0,411692.60988459666
Mahindra,2017.0,100000.0,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,195.0,7,2200.0,472159.6295901318
Hyundai,2017.0,31000.0,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,190.25,5,2250.0,595885.1554671424
Honda,2017.0,26000.0,Petrol,Individual,Automatic,First Owner,18.0,1497,117.3,145.0,5,4600.0,834017.4730441651
Maruti,2013.0,80000.0,Petrol,Individual,Manual,Second Owner,15.1,1196,73.0,101.0,5,3000.0,346633.55404372956
Hyundai,2011.0,90000.0,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,11.4,5,4000.0,174880.24625897547
Hyundai,2018.0,20000.0,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,4000.0,589673.9963706397
Datsun,2018.0,10000.0,Petrol,Individual,Manual,First Owner,22.7,799,53.64,72.0,5,4386.0,281092.6942092639
Maruti,2012.0,80000.0,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5,3500.0,155237.96356326668
Chevrolet,2008.0,100000.0,Diesel,Individual,Manual,Second Owner,11.5,1991,147.9,320.0,7,2000.0,626763.7149848815
Tata,2010.0,148000.0,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,135.0,5,2500.0,45773.29048550152
Hyundai,2009.0,90000.0,Petrol,Individual,Manual,Second Owner,0.0,1086,62.0,96.1,5,3000.0,73912.13335622963
Maruti,2016.0,50000.0,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,4200.0,532766.0879732413
Tata,2013.0,90000.0,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,135.4,5,2500.0,194664.0231915745
Mahindra,2012.0,215000.0,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,290.0,7,2800.0,637325.4773527696
Maruti,2017.0,25000.0,Petrol,Individual,Manual,First Owner,21.63,998,67.0,90.0,5,3500.0,507182.51440568094
Maruti,2012.0,87000.0,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,200.0,7,1750.0,544829.3777268403
Mahindra,2012.0,120000.0,Diesel,Individual,Manual,Second Owner,21.03,1461,65.0,160.0,5,2000.0,229067.07510840916
Maruti,2017.0,70000.0,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,200.0,7,1750.0,739551.6794890997
Maruti,2011.0,90000.0,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,190.0,5,2000.0,361810.0767869856
Mahindra,2017.0,60000.0,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,195.0,7,2200.0,493092.32373300474
Maruti,2011.0,175000.0,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,3000.0,23462.859752362827
Tata,2012.0,40000.0,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,190.0,5,3000.0,265281.90091408486
Maruti,2019.0,5621.0,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,113.0,5,4200.0,788593.6660102603
Maruti,2019.0,40000.0,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5,4200.0,650170.2432259254
Maruti,2012.0,30000.0,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,114.0,5,4000.0,432427.30053679086
Maruti,2011.0,160000.0,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,150.0,5,3000.0,275972.7090625805
Maruti,2018.0,39000.0,Diesel,Dealer,Manual,First Owner,28.4,1248,74.0,190.0,5,2000.0,756634.7017266531
Datsun,2017.0,80000.0,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,104.0,5,4000.0,286810.80055742594
Volvo,2019.0,20000.0,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,400.0,5,3000.0,3420042.926012979
Hyundai,2005.0,53563.0,Petrol,Dealer,Manual,Second Owner,19.369999999999997,1248,81.86,150.0,5,3000.0,169074.6920594487
Maruti,2013.0,50000.0,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5,3500.0,208289.57006208086
Tata,2018.0,70000.0,Petrol,Individual,Manual,First Owner,17.0,1198,108.5,170.0,5,4000.0,642044.6501361784
Ford,2019.0,6000.0,Petrol,Individual,Manual,First Owner,19.0,1194,94.68,120.0,5,4250.0,673161.0294640169
Maruti,2004.0,60000.0,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,3000.0,-177820.24582849327
Mahindra,2014.0,120000.0,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,330.0,7,2800.0,899968.5428984509
Toyota,2011.0,181000.0,Diesel,Individual,Manual,Second Owner,11.5,2982,171.0,343.0,7,3400.0,1211570.3300034022
Maruti,2009.0,100000.0,Diesel,Individual,Manual,Second Owner,17.8,1248,75.0,190.0,5,2000.0,267128.23756579286
Hyundai,2014.0,50000.0,Petrol,Individual,Manual,Third Owner,21.1,814,55.2,74.5,5,4000.0,184735.69025159627
Ford,2017.0,63982.0,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,204.0,5,2750.0,713645.5973027094
Maruti,2011.0,120000.0,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190.0,5,2000.0,325377.67657708074
Hyundai,2012.0,48000.0,CNG,Individual,Manual,First Owner,13.2,1495,93.7,124.5,5,3500.0,418271.59055896034
Hyundai,2016.0,39000.0,Diesel,Dealer,Manual,First Owner,19.67,1582,126.2,259.9,5,2750.0,958793.0981320695
Maruti,2011.0,90000.0,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190.0,5,2000.0,341077.19718423556
Hyundai,2003.0,90000.0,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,12.5,5,3500.0,-19428.801241540583
Toyota,2007.0,147500.0,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,20.4,7,3400.0,459041.6255731953
Ambassador,2008.0,60000.0,Diesel,Individual,Manual,Second Owner,12.8,1995,52.0,106.0,5,2200.0,443014.2557691776
Tata,2016.0,90000.0,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5,2500.0,359253.9059107484
Ford,2017.0,80000.0,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,4000.0,522380.4578240111
Mahindra,2004.0,150000.0,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,7,1500.0,7972.384017857257
Maruti,2017.0,25000.0,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5,2000.0,659210.3476217345
Ford,2004.0,93415.0,Diesel,Dealer,Manual,First Owner,13.1,2499,141.0,330.0,7,1800.0,689835.4888412894
Maruti,2019.0,15000.0,Diesel,Individual,Manual,Second Owner,28.4,1248,74.0,190.0,5,2000.0,680995.2733868462
Hyundai,2010.0,106000.0,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,111.7,5,4000.0,186241.1498702839
Volkswagen,2013.0,70000.0,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,180.0,5,2000.0,282281.23419080954
Hyundai,2015.0,90000.0,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,4000.0,440985.52394563355
Mahindra,2016.0,71000.0,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,240.0,7,2800.0,676985.8780664285
Honda,2006.0,100000.0,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,12.7,5,2700.0,10148.437562405132
Hyundai,2017.0,31000.0,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,4000.0,289790.87243145634
Hyundai,2017.0,30000.0,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,4000.0,547088.7369432619
Maruti,2006.0,93000.0,Petrol,Individual,Manual,Second Owner,16.1,1197,85.0,113.0,5,4500.0,81272.24219481158
Tata,2017.0,60000.0,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7,3000.0,999691.4816120465
Maruti,2017.0,90000.0,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,1750.0,724947.1165109464
Jaguar,2017.0,9000.0,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,430.0,5,2500.0,2393466.1362995678
Tata,2015.0,75000.0,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,223.0,7,2200.0,497624.4307750752
Ford,2010.0,120000.0,Petrol,Individual,Manual,Third Owner,15.6,1196,70.0,102.0,5,4000.0,97189.8885179176
Mahindra,2012.0,50000.0,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,2200.0,388370.78871070594
Mahindra,2013.0,300000.0,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,260.0,8,2200.0,617137.757711312
Hyundai,2017.0,20000.0,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,4000.0,295547.3633207467
Hyundai,2010.0,70000.0,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,99.04,5,4500.0,88025.40572532057
Ford,2010.0,86017.0,Diesel,Dealer,Manual,Second Owner,25.5,1498,99.23,215.0,5,3000.0,430382.5358600621
Maruti,2008.0,70000.0,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,3000.0,-33645.07579757343
Tata,2017.0,28000.0,Petrol,Individual,Manual,Second Owner,23.84,1199,84.0,114.0,5,3500.0,420266.7650038182
Maruti,2010.0,120000.0,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,113.0,5,4500.0,177708.37477257056
Maruti,2018.0,15000.0,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,113.0,5,4200.0,693155.335024694
Maruti,2015.0,150546.0,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,113.0,5,4200.0,510165.5033424691
Maruti,2019.0,20000.0,CNG,Individual,Manual,First Owner,32.26,998,58.3,78.0,4,3500.0,480094.28416690626
Maruti,2016.0,82000.0,Petrol,Individual,Manual,Third Owner,18.5,1197,85.8,114.0,5,4000.0,507121.77508694725
Toyota,2005.0,120000.0,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,20.4,8,3400.0,459190.987373939
Honda,2019.0,40000.0,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,200.0,5,1750.0,823567.3647592585
Chevrolet,2014.0,50000.0,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,171.0,9,1800.0,461677.14820790733
Maruti,2019.0,5621.0,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,113.0,5,4200.0,788593.6660102603
BMW,2019.0,8500.0,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,400.0,5,2500.0,3031852.600441779
Honda,2013.0,32000.0,Petrol,Individual,Manual,First Owner,16.8,1497,116.3,146.0,5,4800.0,563419.1299135409
Maruti,2012.0,111000.0,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62.0,5,3000.0,152716.0344882696
Ford,2014.0,132000.0,Diesel,Dealer,Manual,Second Owner,22.7,1498,89.84,204.0,5,2750.0,507585.56165683223
Chevrolet,2013.0,46000.0,Petrol,Individual,Manual,First Owner,18.2,1199,84.8,113.0,5,5000.0,256847.488726069
Maruti,2014.0,50000.0,Petrol,Individual,Manual,First Owner,18.6,1197,85.8,114.0,5,4000.0,490642.595082568
Toyota,2011.0,375000.0,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,20.4,8,3400.0,549857.5775630802
Tata,2012.0,80000.0,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,150.0,5,3000.0,204783.98533452093
Hyundai,2017.0,56290.0,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,190.24,5,2250.0,649588.2613149143
Maruti,2017.0,25000.0,Petrol,Individual,Manual,Second Owner,24.7,796,47.3,69.0,5,3500.0,312649.67310704966
Jaguar,2017.0,45000.0,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,430.0,5,2500.0,2375438.277942078
Mahindra,2018.0,12000.0,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,247.0,6,2000.0,980070.0543705132
Tata,2016.0,100000.0,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,140.0,5,3000.0,312203.86163262045
Tata,2012.0,35000.0,Diesel,Individual,Manual,Second Owner,23.03,1396,69.0,140.0,5,3000.0,159149.29751532874
Toyota,2006.0,264000.0,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,20.4,8,3400.0,421185.3743512556
Hyundai,2012.0,80000.0,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,259.8,5,2750.0,663366.7759652659
